symbol,name,board,industry,total_mv_yi,tag_size,tag_style,tag_sector,status,error
000006.SZ,深振业A,主板,房地产,129.1945259,中盘,价值,周期,ok,
000004.SZ,*ST国华,主板,计算机,4.9774986,小盘,成长,科技,ok,
000007.SZ,全新好,主板,房地产,47.08228918,小盘,价值,周期,ok,
000002.SZ,万科A,主板,房地产,472.45609505000004,中盘,价值,周期,ok,
000001.SZ,平安银行,主板,银行,2136.5915936,大盘,价值,金融,ok,
000008.SZ,神州高铁,主板,机械,73.61383521,小盘,价值,制造,ok,
000011.SZ,深物业A,主板,房地产,50.71782073,小盘,价值,周期,ok,
000010.SZ,美丽生态,主板,建筑,46.79084828,小盘,价值,基础设施,ok,
000012.SZ,南玻A,主板,建材,137.82383714,中盘,价值,制造,ok,
000009.SZ,中国宝安,主板,综合,231.61341406,中盘,价值,周期,ok,
000042.SZ,中洲控股,主板,房地产,59.03700514,小盘,价值,周期,ok,
000019.SZ,深粮控股,主板,农林牧渔,87.36217225,小盘,价值,消费,ok,
000153.SZ,丰原药业,主板,医药,30.529838799999997,小盘,成长,消费,ok,
000156.SZ,华数传媒,主板,传媒,140.4522791,小盘,成长,消费,ok,
000068.SZ,华控赛格,主板,电力及公用事业,32.61615543,小盘,价值,基础设施,ok,
000017.SZ,深中华A,主板,商贸零售,46.65781996,小盘,价值,消费,ok,
000035.SZ,中国天楹,主板,电力及公用事业,169.5503266,中盘,价值,基础设施,ok,
000036.SZ,华联控股,主板,房地产,72.57742807999999,小盘,价值,周期,ok,
000031.SZ,大悦城,主板,房地产,125.16034950000001,小盘,价值,周期,ok,
000039.SZ,中集集团,主板,机械,627.68937281,中盘,价值,制造,ok,
000061.SZ,农产品,主板,农林牧渔,147.48261701,小盘,价值,消费,ok,
000020.SZ,深华发A,主板,电子,44.68284162,小盘,成长,科技,ok,
000099.SZ,中信海直,主板,交通运输,142.1210891,中盘,价值,基础设施,ok,
000027.SZ,深圳能源,主板,电力及公用事业,317.79364639,中盘,价值,基础设施,ok,
000100.SZ,TCL科技,主板,电子,894.43708522,大盘,成长,科技,ok,
000028.SZ,国药一致,主板,医药,144.98520256,中盘,价值,消费,ok,
000014.SZ,沙河股份,主板,房地产,32.45839864,小盘,价值,周期,ok,
000065.SZ,北方国际,主板,建筑,164.3440655,中盘,价值,基础设施,ok,
000096.SZ,广聚能源,主板,石油石化,50.7936,小盘,价值,周期,ok,
000158.SZ,常山北明,主板,计算机,284.71363801,中盘,成长,科技,ok,
000089.SZ,深圳机场,主板,交通运输,140.27263442,中盘,价值,基础设施,ok,
000025.SZ,特力A,主板,综合,69.74523617999999,小盘,价值,消费,ok,
000063.SZ,中兴通讯,主板,通信,1690.0228755800001,大盘,成长,科技,ok,
000059.SZ,华锦股份,主板,石油石化,83.81078894,小盘,价值,周期,ok,
000157.SZ,中联重科,主板,机械,697.93679355,大盘,价值,制造,ok,
000034.SZ,神州数码,主板,计算机,265.99928045,中盘,成长,科技,ok,
000049.SZ,德赛电池,主板,电子,107.00644016,小盘,成长,科技,ok,
000058.SZ,深赛格,主板,房地产,98.98853403000001,小盘,价值,周期,ok,
000078.SZ,海王生物,主板,医药,99.19334679,小盘,成长,消费,ok,
000016.SZ,深康佳A,主板,家电,76.57266397000001,小盘,价值,消费,ok,
000045.SZ,深纺织A,主板,电子,60.63066533,小盘,成长,科技,ok,
000055.SZ,方大集团,主板,建材,36.94127341,小盘,价值,制造,ok,
000400.SZ,许继电气,主板,电力设备及新能源,261.37846908999995,中盘,成长,制造,ok,
000410.SZ,沈阳机床,主板,机械,178.28261351,小盘,价值,制造,ok,
000428.SZ,华天酒店,主板,消费者服务,38.9229732,小盘,价值,消费,ok,
000415.SZ,渤海租赁,主板,非银行金融,283.25107472,中盘,价值,金融,ok,
000333.SZ,美的集团,主板,家电,5981.12061061,大盘,价值,消费,ok,
000409.SZ,云鼎科技,主板,计算机,73.67147989,小盘,成长,科技,ok,
000419.SZ,通程控股,主板,商贸零售,32.12573491,小盘,价值,消费,ok,
000403.SZ,派林生物,主板,医药,122.69630253000001,中盘,成长,消费,ok,
000417.SZ,合百集团,主板,商贸零售,52.252241399999996,小盘,价值,消费,ok,
000423.SZ,东阿阿胶,主板,医药,347.94067801,中盘,价值,消费,ok,
000429.SZ,粤高速A,主板,交通运输,265.532378,中盘,红利,基础设施,ok,
000430.SZ,ST张家界,主板,消费者服务,64.60890269000001,小盘,价值,消费,ok,
000402.SZ,金融街,主板,房地产,83.98893039000001,小盘,价值,金融,ok,
000401.SZ,金隅冀东,主板,建材,127.860249,小盘,价值,周期,ok,
000426.SZ,兴业银锡,主板,有色金属,786.2515052299999,大盘,价值,周期,ok,
000421.SZ,南京公用,主板,电力及公用事业,34.52238561,小盘,价值,基础设施,ok,
000498.SZ,山东路桥,主板,建筑,93.92270839,小盘,价值,基础设施,ok,
000151.SZ,中成股份,主板,商贸零售,39.72259158,小盘,价值,消费,ok,
000503.SZ,国新健康,主板,医药,74.12941213,小盘,成长,消费,ok,
000404.SZ,长虹华意,主板,家电,49.27651531,小盘,价值,制造,ok,
000505.SZ,京粮控股,主板,农林牧渔,47.90602154,小盘,价值,消费,ok,
000520.SZ,凤凰航运,主板,交通运输,42.203880070000004,小盘,价值,基础设施,ok,
000425.SZ,徐工机械,主板,机械,1168.98726732,大盘,价值,制造,ok,
000509.SZ,华塑控股,主板,电子,39.705737920000004,小盘,成长,科技,ok,
000513.SZ,丽珠集团,主板,医药,300.02383308000003,中盘,成长,消费,ok,
000519.SZ,中兵红箭,主板,国防军工,247.3184752,中盘,成长,制造,ok,
000516.SZ,国际医学,主板,医药,103.43702999,中盘,成长,消费,ok,
000523.SZ,红棉股份,主板,基础化工,59.10208443999999,小盘,价值,周期,ok,
000066.SZ,中国长城,主板,计算机,507.09561663,中盘,成长,科技,ok,
000037.SZ,深南电A,主板,电力及公用事业,66.72581938,小盘,价值,基础设施,ok,
000030.SZ,富奥股份,主板,汽车,94.58959648,小盘,价值,制造,ok,
000529.SZ,广弘控股,主板,食品饮料,33.10091171,小盘,价值,消费,ok,
000528.SZ,柳工,主板,机械,194.30707524000002,中盘,价值,制造,ok,
000521.SZ,长虹美菱,主板,家电,58.70565176,小盘,价值,消费,ok,
000526.SZ,学大教育,主板,消费者服务,38.76401877,小盘,成长,消费,ok,
000531.SZ,穗恒运A,主板,电力及公用事业,69.98216951,小盘,价值,基础设施,ok,
000536.SZ,华映科技,主板,电子,117.83299741,小盘,成长,科技,ok,
000530.SZ,冰山冷热,主板,机械,50.42410792,小盘,价值,制造,ok,
000541.SZ,佛山照明,主板,家电,87.53935910999999,小盘,价值,消费,ok,
000543.SZ,皖能电力,主板,电力及公用事业,182.93587080999998,中盘,价值,基础设施,ok,
000550.SZ,江铃汽车,主板,汽车,163.75169580000002,小盘,价值,制造,ok,
000552.SZ,甘肃能化,主板,煤炭,142.35827182,中盘,红利,周期,ok,
000553.SZ,安道麦A,主板,基础化工,144.68131067,小盘,价值,周期,ok,
000551.SZ,创元科技,主板,电力设备及新能源,69.02598575,小盘,成长,制造,ok,
000555.SZ,神州信息,主板,计算机,154.56267082,中盘,成长,科技,ok,
000557.SZ,西部创业,主板,交通运输,68.2519376,小盘,价值,基础设施,ok,
000560.SZ,我爱我家,主板,房地产,70.66502553,小盘,价值,周期,ok,
000546.SZ,金圆股份,主板,电力及公用事业,53.11337629,小盘,价值,基础设施,ok,
000547.SZ,航天发展,主板,国防军工,431.26673898,中盘,成长,制造,ok,
000564.SZ,供销大集,主板,商贸零售,343.10320373,中盘,价值,消费,ok,
000565.SZ,渝三峡A,主板,基础化工,31.435435950000002,小盘,价值,周期,ok,
000561.SZ,烽火电子,主板,国防军工,86.22902015,小盘,成长,制造,ok,
000301.SZ,东方盛虹,主板,石油石化,804.58677996,,,,error,"ValueError: style tag '周期' not in ['价值', '成长', '红利']"
000422.SZ,湖北宜化,主板,基础化工,172.16465991,,,,error,"ValueError: style tag '周期' not in ['价值', '成长', '红利']"
000544.SZ,中原环保,主板,电力及公用事业,79.82665956999999,中盘,价值,基础设施,ok,
000572.SZ,海马汽车,主板,汽车,94.40213085,小盘,成长,制造,ok,
000571.SZ,新大洲A,主板,煤炭,48.5855691,小盘,价值,周期,ok,
000570.SZ,苏常柴A,主板,机械,46.64627471,小盘,价值,制造,ok,
000407.SZ,胜利股份,主板,电力及公用事业,40.83592804,小盘,红利,基础设施,ok,
000576.SZ,甘化科工,主板,国防军工,42.768984970000005,小盘,成长,制造,ok,
000155.SZ,川能动力,主板,电力及公用事业,312.92553397,大盘,红利,基础设施,ok,
000582.SZ,北部湾港,主板,交通运输,271.34170694,中盘,价值,基础设施,ok,
000062.SZ,深圳华强,主板,房地产,311.26261423,中盘,价值,周期,ok,
000050.SZ,深天马A,主板,电子,204.97615493,中盘,成长,科技,ok,
000591.SZ,太阳能,主板,电力及公用事业,209.63774734,中盘,价值,基础设施,ok,
000568.SZ,泸州老窖,主板,食品饮料,1489.60526656,,,,error,"ValueError: style tag '消费' not in ['价值', '成长', '红利']"
000021.SZ,深科技,主板,电子,455.78735022,中盘,成长,科技,ok,
000026.SZ,飞亚达,主板,商贸零售,71.49561803,中盘,价值,消费,ok,
000595.SZ,*ST宝实,主板,机械,78.33955798,小盘,价值,制造,ok,
000554.SZ,泰山石油,主板,石油石化,38.078830790000005,小盘,红利,周期,ok,
000514.SZ,渝开发,主板,房地产,40.501006319999995,小盘,价值,周期,ok,
000597.SZ,东北制药,主板,医药,76.20651335,小盘,价值,消费,ok,
000598.SZ,兴蓉环境,主板,电力及公用事业,197.54137733,中盘,价值,基础设施,ok,
000592.SZ,平潭发展,主板,农林牧渔,211.33682958,中盘,价值,消费,ok,
000501.SZ,武商集团,主板,商贸零售,65.44128141,中盘,价值,消费,ok,
000517.SZ,荣安地产,主板,房地产,61.44970396,中盘,价值,周期,ok,
000601.SZ,韶能股份,主板,电力及公用事业,70.56596237999999,小盘,价值,基础设施,ok,
000159.SZ,国际实业,主板,石油石化,29.94673736,小盘,价值,周期,ok,
000600.SZ,建投能源,主板,电力及公用事业,169.86467822,中盘,价值,基础设施,ok,
000408.SZ,藏格矿业,主板,基础化工,1332.33654463,大盘,价值,周期,ok,
000593.SZ,德龙汇能,主板,电力及公用事业,67.27917728999999,小盘,价值,基础设施,ok,
000608.SZ,*ST阳光,主板,房地产,29.77155837,小盘,价值,周期,ok,
000166.SZ,申万宏源,主板,非银行金融,1186.89337214,大盘,价值,金融,ok,
000615.SZ,*ST美谷,主板,商贸零售,60.774751560000006,小盘,价值,消费,ok,
000607.SZ,华媒控股,主板,传媒,41.013245919999996,小盘,成长,消费,ok,
000506.SZ,招金黄金,主板,有色金属,158.2117247,中盘,价值,周期,ok,
