sequence,length,count,up_count,down_count,up_probability
11,1,529257,236447,292568,0.446753
5,1,345385,154659,190348,0.447787
17,1,84776,34795,49913,0.410435
4,1,66110,27107,38962,0.410029
12,1,57549,24254,33274,0.42145
2,1,49421,22042,26454,0.446005
8,1,39709,17326,22369,0.436324
7,1,29405,10598,18771,0.360415
18,1,16784,9878,6883,0.588537
21,1,14581,6530,8040,0.447843
20,1,5991,1481,4467,0.247204
19,1,606,141,465,0.232673
"11,11",2,196613,88303,108233,0.449121
"11,24",2,116921,51803,65050,0.44306
"5,11",2,87906,39488,48353,0.449207
"25,24",2,84728,37411,47051,0.441542
"24,10",2,74423,32927,41445,0.44243
"24,11",2,58678,25483,33139,0.434285
"25,11",2,31258,13993,17249,0.447661
"11,25",2,26394,11383,15001,0.431272
"5,24",2,21974,9526,12420,0.433512
"17,24",2,20703,8638,12052,0.417234
"5,25",2,19355,7905,11427,0.408422
"11,17",2,18598,8340,10257,0.448435
"11,12",2,17476,7400,10061,0.423438
"4,25",2,16339,6532,9789,0.39978
"24,17",2,15031,6052,8963,0.402635
"12,24",2,15022,6396,8622,0.425776
"11,4",2,14986,6098,8872,0.406913
"17,17",2,14420,5875,8521,0.40742
"25,17",2,13560,5917,7632,0.436357
"24,12",2,13275,5844,7429,0.440226
"25,12",2,12814,5217,7593,0.407133
"8,11",2,12596,5604,6987,0.444903
"8,5",2,12359,5460,6890,0.441783
"4,24",2,11639,4943,6690,0.424693
"24,4",2,11449,4653,6794,0.406411
"17,7",2,10941,3878,7058,0.354447
"2,2",2,10620,3848,5952,0.362335
"5,4",2,10590,4353,6228,0.411048
"12,11",2,10163,4288,5874,0.421923
"3,16",2,10006,5679,4327,0.567559
"24,15",2,9675,5563,4095,0.574987
"24,23",2,9133,4094,5030,0.448265
"4,11",2,8915,3711,5198,0.416265
"12,25",2,8830,3690,5135,0.417894
"23,23",2,8706,3913,4782,0.44946
"5,17",2,8617,3649,4950,0.423465
"17,12",2,8456,3161,5290,0.373817
"16,16",2,8315,4697,3497,0.564883
"10,5",2,8196,3570,4619,0.435578
"24,16",2,8085,4621,3447,0.571552
"11,7",2,7929,3389,4539,0.427418
"25,4",2,7641,3267,4367,0.427562
"4,5",2,7622,3055,4562,0.400813
"5,20",2,7448,2079,5360,0.279135
"16,15",2,7416,4280,3128,0.577131
"11,1",2,7085,3171,3914,0.447565
"11,8",2,6970,3093,3877,0.443759
"7,11",2,6894,2704,4188,0.392225
"10,11",2,6157,2741,3415,0.445184
"21,6",2,6004,2614,3387,0.435376
"7,24",2,5526,1857,3665,0.336048
"16,18",2,5482,3362,2104,0.61328
"11,2",2,5420,2340,3079,0.431734
"4,17",2,5014,2031,2981,0.405066
"7,17",2,5010,1731,3256,0.345509
"4,4",2,5003,2009,2994,0.401559
"2,11",2,4680,2083,2596,0.445085
"10,21",2,4591,2045,2541,0.445437
"18,10",2,4547,2632,1912,0.578843
"25,20",2,4511,1667,2825,0.369541
"4,12",2,4484,1892,2592,0.421945
