sequence,length,count,up_count,down_count,up_probability
11,1,353006,155221,196994,0.439712
17,1,64743,27269,37321,0.421188
4,1,41278,16966,24265,0.411018
12,1,38761,16744,21958,0.431981
8,1,26602,11611,14953,0.436471
7,1,25195,9644,15469,0.382774
18,1,15417,8961,6415,0.581241
20,1,3477,980,2477,0.281852
19,1,258,93,165,0.360465
"11,11",2,130923,57562,73047,0.439663
"11,24",2,74743,33283,41309,0.445299
"5,11",2,56382,25063,31203,0.444521
"11,5",2,50386,22393,27905,0.444429
"24,11",2,36772,16343,20342,0.444441
"25,11",2,20117,8580,11487,0.426505
"11,25",2,18029,7449,10534,0.413168
"11,17",2,14459,6320,8107,0.437098
"17,24",2,14416,6047,8331,0.419464
"5,24",2,13429,5963,7450,0.444039
"10,2",2,12863,5700,7130,0.443131
"11,12",2,11858,5146,6684,0.433969
"5,25",2,11784,4802,6968,0.407502
"17,17",2,11488,4774,6685,0.415564
"24,17",2,10737,4591,6119,0.427587
"11,4",2,9820,3844,5947,0.391446
"11,23",2,9669,4280,5376,0.442652
"25,17",2,9601,4263,5318,0.444016
"12,24",2,9563,4254,5298,0.444839
"4,25",2,9180,3921,5249,0.427124
"17,7",2,8913,3267,5625,0.366543
"8,11",2,8742,3857,4865,0.441203
"8,5",2,8201,3602,4589,0.439215
"24,12",2,8191,3647,4536,0.445245
"25,12",2,7948,3379,4562,0.425138
"16,16",2,7698,4777,2885,0.620551
"12,11",2,7288,3174,4101,0.43551
"11,7",2,7095,3100,3978,0.436927
"4,24",2,7068,2961,4098,0.41893
"24,4",2,7033,2843,4183,0.404237
"17,12",2,6680,2638,4030,0.39491
"13,13",2,6642,3763,2866,0.566546
"5,4",2,6620,2710,3892,0.409366
"5,17",2,6479,2836,3626,0.437722
"24,16",2,6389,3826,2536,0.598842
"7,11",2,6283,2460,3814,0.391533
"4,11",2,5979,2454,3510,0.410437
"25,5",2,5766,2594,3157,0.449879
"12,25",2,5668,2307,3352,0.407022
"16,18",2,5322,3453,1858,0.648816
"16,15",2,5248,2961,2282,0.564215
"24,15",2,5145,2962,2174,0.575705
"10,5",2,5029,2257,2767,0.448797
"11,8",2,4810,2006,2794,0.417048
"25,16",2,4651,2590,2041,0.556869
"25,4",2,4527,1885,2637,0.416391
"5,20",2,4476,1341,3133,0.299598
"11,2",2,4415,1735,2650,0.392978
"7,17",2,4336,1584,2720,0.365314
"4,5",2,4322,1724,2593,0.398889
"2,11",2,4104,1735,2347,0.422758
"10,11",2,4060,1728,2319,0.425616
"7,24",2,4046,1577,2452,0.389768
"4,17",2,3861,1545,2312,0.400155
"4,4",2,3282,1219,2063,0.37142
"25,7",2,3080,1192,1868,0.387013
