sequence,length,count,up_count,down_count,up_probability
11,1,207746,91906,115606,0.442396
5,1,134298,58956,75057,0.438994
17,1,37090,15721,21319,0.423861
4,1,24192,9678,14475,0.40005
12,1,22536,9463,13056,0.419906
2,1,22352,9893,12040,0.4426
23,1,18187,8114,10028,0.446143
8,1,15229,6576,8639,0.431808
7,1,13309,4915,8378,0.369299
18,1,7317,4339,2974,0.593003
21,1,5665,2532,3122,0.446955
20,1,2963,568,2379,0.191698
19,1,242,69,173,0.285124
"10,10",2,117245,52685,64474,0.449358
"11,11",2,76030,33631,42322,0.442339
"11,24",2,45010,19720,25230,0.438125
"5,11",2,34338,15216,19057,0.443124
"25,24",2,32587,14333,18174,0.439838
"11,5",2,30315,13628,16655,0.449546
"24,10",2,29979,13374,16585,0.446112
"25,10",2,27774,12296,15436,0.442716
"24,11",2,22511,9887,12592,0.439207
"6,24",2,12831,5736,7079,0.447042
"25,11",2,12067,5400,6652,0.447501
"11,25",2,10225,4402,5813,0.430513
"17,24",2,8736,3779,4953,0.432578
"5,24",2,7744,3244,4478,0.418905
"5,25",2,7288,2875,4390,0.394484
"11,12",2,6991,2956,4020,0.422829
"11,23",2,6746,3031,3702,0.449303
"24,17",2,6571,2733,3832,0.415918
"17,17",2,6261,2700,3539,0.431241
"4,25",2,6046,2246,3783,0.371485
"12,24",2,5858,2505,3350,0.42762
"11,4",2,5425,2157,3252,0.397604
"17,7",2,5030,1871,3154,0.371968
"25,12",2,4734,1931,2800,0.4079
"8,5",2,4717,2072,2636,0.439262
"2,2",2,4618,1746,2517,0.378086
"3,16",2,4146,2344,1802,0.565364
"5,23",2,4128,1837,2280,0.44501
"4,24",2,4113,1803,2305,0.438366
"24,4",2,3926,1658,2267,0.422313
"12,11",2,3921,1624,2296,0.41418
"24,15",2,3752,2087,1660,0.556237
"5,17",2,3690,1554,2133,0.421138
"16,16",2,3690,2062,1579,0.558808
"5,4",2,3688,1551,2128,0.420553
"23,11",2,3660,1623,2029,0.443443
"17,12",2,3633,1401,2227,0.385632
"25,5",2,3583,1596,1974,0.445437
"24,16",2,3511,2027,1480,0.577328
"11,7",2,3439,1509,1929,0.43879
"12,25",2,3418,1459,1956,0.426858
"24,23",2,3295,1480,1809,0.449165
"16,15",2,3290,1873,1417,0.569301
"10,5",2,3277,1362,1908,0.415624
"4,11",2,3231,1286,1939,0.398019
"7,11",2,3097,1261,1834,0.407168
"5,20",2,2876,785,2082,0.272949
