sequence,length,count,up_count,down_count,up_probability
17,1,17463,6889,10566,0.394491
4,1,15831,6828,9002,0.431306
12,1,13184,5388,7794,0.408677
8,1,9443,4190,5253,0.443715
7,1,6021,2086,3935,0.346454
18,1,3903,2344,1550,0.600564
21,1,3690,1657,2033,0.449051
20,1,1232,425,805,0.344968
19,1,228,28,200,0.122807
"11,24",2,26628,11788,14836,0.442692
"25,24",2,20629,9086,11488,0.440448
"24,10",2,17483,7611,9867,0.435337
"24,11",2,13696,5769,7924,0.421218
"6,25",2,8787,3784,5003,0.430636
"11,25",2,6236,2570,3666,0.412123
"5,24",2,5494,2459,3035,0.447579
"5,25",2,4868,2075,2793,0.426253
"17,24",2,4193,1652,2538,0.39399
"15,25",2,4064,2271,1793,0.558809
"4,25",2,4015,1657,2357,0.412702
"11,12",2,3797,1669,2128,0.439558
"11,17",2,3716,1646,2070,0.442949
"12,24",2,3637,1490,2147,0.409678
"11,4",2,3568,1530,2038,0.428812
"25,12",2,3231,1258,1972,0.389353
"10,2",2,3187,1320,1867,0.414183
"24,12",2,3136,1307,1829,0.416773
"24,17",2,3126,1221,1888,0.390595
"25,17",2,3073,1246,1827,0.405467
"8,5",2,3030,1269,1761,0.418812
"17,17",2,2994,1127,1865,0.37642
"24,4",2,2886,1210,1676,0.419265
"5,4",2,2643,1125,1518,0.425653
"25,5",2,2518,1126,1392,0.44718
"24,15",2,2338,1352,986,0.578272
"24,23",2,2333,1040,1293,0.445778
"17,7",2,2257,758,1499,0.335844
"12,11",2,2215,925,1290,0.417607
"3,16",2,2190,1310,880,0.598174
"23,23",2,2156,943,1213,0.437384
"12,25",2,2123,871,1250,0.410268
"4,11",2,2059,899,1160,0.43662
"11,7",2,1985,720,1265,0.36272
"5,20",2,1885,549,1336,0.291247
"5,17",2,1871,830,1041,0.443613
"17,12",2,1856,670,1186,0.360991
"15,15",2,1835,1030,805,0.561308
"4,5",2,1750,747,1003,0.426857
"24,16",2,1708,1026,680,0.600703
"16,25",2,1651,930,710,0.563295
"16,16",2,1606,942,649,0.58655
"16,15",2,1587,900,679,0.567108
"21,6",2,1575,691,884,0.43873
"11,1",2,1527,612,914,0.400786
"6,16",2,1492,832,655,0.557641
"10,11",2,1489,653,836,0.438549
"10,13",2,1478,628,850,0.424899
"7,11",2,1378,507,871,0.367925
"3,2",2,1263,824,439,0.652415
"25,23",2,1222,532,689,0.435352
"18,10",2,1200,664,534,0.553333
"16,18",2,1194,814,377,0.681742
"25,20",2,1168,471,694,0.403253
"7,24",2,1095,355,740,0.324201
"4,12",2,1069,469,600,0.438728
"2,15",2,1050,456,593,0.434286
"12,6",2,1037,465,572,0.448409
"4,17",2,1036,428,608,0.413127
"2,11",2,1032,455,577,0.440891
"7,17",2,1009,320,689,0.317146
"12,4",2,964,334,630,0.346473
"17,25",2,954,371,583,0.388889
"25,7",2,953,407,546,0.427072
"1,10",2,896,353,543,0.393973
"3,14",2,822,473,341,0.575426
"6,15",2,814,312,502,0.383292
"14,15",2,805,501,304,0.62236
"6,2",2,790,346,432,0.437975
"24,14",2,779,437,339,0.560976
"12,17",2,756,275,481,0.363757
"4,20",2,753,328,425,0.435591
"24,7",2,732,256,476,0.349727
"21,25",2,714,318,396,0.445378
"25,2",2,698,393,304,0.563037
"16,24",2,643,372,267,0.578538
"6,5",2,634,274,360,0.432177
"12,12",2,624,274,350,0.439103
"6,14",2,608,356,252,0.585526
"6,11",2,600,256,344,0.426667
"3,18",2,595,345,250,0.579832
"12,5",2,578,229,349,0.396194
"17,5",2,543,219,324,0.403315
"15,2",2,537,316,219,0.588454
"16,6",2,509,227,282,0.445972
"8,4",2,486,171,315,0.351852
"17,13",2,476,198,278,0.415966
"7,7",2,458,132,326,0.28821
"13,12",2,454,195,259,0.429515
"20,24",2,441,162,277,0.367347
"9,25",2,440,181,259,0.411364
"7,25",2,414,179,235,0.432367
"7,5",2,414,160,254,0.386473
"5,13",2,411,161,250,0.391727
"18,25",2,407,247,159,0.60688
"23,7",2,399,130,269,0.325815
"7,12",2,394,142,252,0.360406
"23,25",2,388,171,215,0.440722
