sequence,length,count,up_count,down_count,up_probability
16,1,11769,6605,5113,0.56122
14,1,5588,3086,2499,0.552255
18,1,2914,1623,1270,0.556966
20,1,1483,393,1088,0.265003
"11,25",2,6861,3062,3778,0.446291
"4,25",2,4870,2138,2727,0.439014
"24,17",2,3592,1593,1968,0.443486
"25,12",2,3237,1398,1835,0.431881
"25,15",2,2867,1657,1206,0.577956
"25,17",2,2756,1238,1510,0.449202
"12,11",2,2664,1180,1475,0.442943
"24,15",2,2201,1253,942,0.569287
"17,7",2,2035,821,1206,0.40344
"3,16",2,1979,1156,794,0.584133
"17,12",2,1925,847,1068,0.44
"16,25",2,1804,1065,737,0.590355
"5,20",2,1735,570,1157,0.32853
"24,16",2,1669,969,689,0.580587
"16,15",2,1532,843,684,0.550261
"16,16",2,1523,939,583,0.616546
"4,12",2,1454,637,815,0.438102
"4,17",2,1398,584,809,0.41774
"12,4",2,1348,594,753,0.440653
"14,14",2,1337,763,574,0.570681
"15,15",2,1305,776,528,0.594636
"11,2",2,1197,538,647,0.449457
"25,16",2,1187,662,522,0.557709
"12,12",2,1074,434,635,0.404097
"7,17",2,1071,467,597,0.436041
"25,20",2,1000,434,561,0.434
"24,7",2,894,383,507,0.428412
"24,14",2,881,505,376,0.573212
"16,18",2,838,503,327,0.600239
"24,1",2,726,313,412,0.431129
"16,3",2,702,396,286,0.564103
"12,5",2,654,287,367,0.438838
"6,2",2,637,281,353,0.44113
"2,15",2,636,382,254,0.600629
"14,15",2,613,380,233,0.619902
"8,24",2,601,264,336,0.439268
"3,14",2,593,336,257,0.56661
"9,25",2,589,250,336,0.424448
"6,15",2,577,224,353,0.388215
"20,24",2,564,138,424,0.244681
"16,24",2,563,316,247,0.561279
"1,1",2,548,304,241,0.554745
"6,11",2,516,184,332,0.356589
"14,5",2,516,284,232,0.550388
"16,14",2,496,278,218,0.560484
"4,23",2,495,199,295,0.40202
"3,13",2,483,281,202,0.581781
"16,6",2,457,258,199,0.564551
"7,7",2,455,188,265,0.413187
"5,2",2,428,187,241,0.436916
"15,11",2,418,244,174,0.583732
"3,18",2,415,247,158,0.595181
"17,23",2,410,184,223,0.44878
"7,25",2,402,175,226,0.435323
"5,12",2,392,169,223,0.431122
"7,12",2,387,163,223,0.421189
"5,7",2,386,172,213,0.445596
"23,8",2,371,162,208,0.436658
"24,21",2,351,113,238,0.321937
"11,20",2,330,129,201,0.390909
"7,23",2,324,117,206,0.361111
"3,19",2,320,189,131,0.590625
"10,9",2,319,185,134,0.579937
"18,15",2,303,212,82,0.69967
"20,12",2,294,61,233,0.207483
"18,25",2,287,188,99,0.655052
"18,16",2,286,163,120,0.56993
"12,7",2,284,121,162,0.426056
"15,14",2,284,162,122,0.570423
"24,19",2,280,157,123,0.560714
"25,18",2,253,163,90,0.644269
"3,22",2,252,156,96,0.619048
"14,2",2,250,141,109,0.564
"22,6",2,248,73,175,0.294355
"2,17",2,244,97,147,0.397541
"3,1",2,224,125,99,0.558036
"9,22",2,221,127,91,0.574661
"24,18",2,217,134,82,0.617512
"9,6",2,205,84,121,0.409756
"5,10",2,202,84,118,0.415842
