sequence,length,count,up_count,down_count,up_probability
11,1,230424,102645,127763,0.445461
5,1,146010,65121,80798,0.446004
17,1,38748,15825,22909,0.408408
4,1,29553,12931,16621,0.437553
12,1,26322,11159,15161,0.423942
8,1,17843,7714,10129,0.432326
7,1,14032,5196,8836,0.370296
18,1,8220,4727,3481,0.575061
21,1,6149,2754,3395,0.447878
20,1,1918,538,1373,0.280501
19,1,317,97,218,0.305994
"11,11",2,85169,37840,47327,0.444293
"11,24",2,51943,23039,28899,0.443544
"5,11",2,37357,16410,20945,0.439275
"25,24",2,36096,16209,19788,0.449053
"24,10",2,32957,14732,18219,0.447007
"24,11",2,25613,11190,14421,0.436888
"11,25",2,11582,5167,6415,0.446123
"5,24",2,9526,4046,5476,0.424732
"17,24",2,9382,3964,5411,0.422511
"11,17",2,8381,3660,4721,0.436702
"5,25",2,7877,3333,4544,0.423131
"11,12",2,7480,3200,4280,0.427807
"11,4",2,7004,2967,4037,0.423615
"12,24",2,6761,2994,3766,0.442834
"17,17",2,6750,2624,4126,0.388741
"4,25",2,6732,2931,3801,0.435383
"24,17",2,6656,2671,3983,0.401292
"16,10",2,6615,2943,3671,0.444898
"24,12",2,6277,2751,3525,0.438267
"25,17",2,5927,2576,3351,0.434621
"25,12",2,5650,2382,3268,0.421593
"8,11",2,5638,2436,3202,0.432068
"4,24",2,5152,2219,2932,0.430707
"17,7",2,5145,1830,3315,0.355685
"24,4",2,5048,2211,2836,0.437995
"2,2",2,4791,1938,2604,0.404508
"6,16",2,4644,2067,2576,0.44509
"5,4",2,4600,1980,2620,0.430435
"12,11",2,4590,1942,2648,0.423094
"5,23",2,4506,2021,2484,0.448513
"5,17",2,4386,1799,2572,0.410169
"16,16",2,4334,2404,1894,0.554684
"4,11",2,4119,1816,2303,0.440884
"11,7",2,4103,1663,2440,0.405313
"24,23",2,4043,1680,2360,0.415533
"24,16",2,3980,2314,1657,0.581407
"17,12",2,3964,1511,2453,0.381181
"12,25",2,3812,1555,2257,0.407922
"10,5",2,3396,1425,1971,0.419611
"7,11",2,3392,1423,1969,0.419517
"25,4",2,3316,1482,1834,0.446924
"4,5",2,3293,1335,1958,0.405405
"11,1",2,3262,1418,1844,0.434703
"16,15",2,2923,1718,1204,0.587752
"16,18",2,2706,1689,1012,0.624169
"7,24",2,2535,849,1686,0.334911
"4,4",2,2492,1053,1439,0.422552
"7,17",2,2406,848,1558,0.352452
"5,20",2,2399,760,1639,0.316799
"10,11",2,2347,1029,1318,0.438432
"18,10",2,2188,1252,936,0.572212
"12,4",2,2102,888,1214,0.422455
"4,12",2,2098,883,1215,0.420877
"24,8",2,2027,837,1190,0.412926
"10,21",2,1990,810,1180,0.407035
"12,17",2,1915,775,1140,0.4047
"16,3",2,1865,1044,821,0.559786
"8,8",2,1845,715,1130,0.387534
"8,25",2,1813,674,1139,0.37176
"25,7",2,1804,724,1080,0.40133
"25,20",2,1785,740,1034,0.414566
"17,25",2,1764,760,1004,0.430839
"6,21",2,1741,755,986,0.433659
"25,23",2,1690,736,951,0.435503
"24,14",2,1640,922,695,0.562195
"25,2",2,1640,910,729,0.554878
"24,7",2,1635,632,1003,0.386544
"12,12",2,1491,639,851,0.428571
"6,15",2,1411,516,895,0.365698
"16,2",2,1343,783,560,0.583023
"21,25",2,1304,563,741,0.431748
"7,7",2,1296,396,900,0.305556
"6,13",2,1202,496,706,0.412646
"21,10",2,1156,505,651,0.436851
"17,5",2,1146,482,664,0.420593
"9,25",2,1116,457,656,0.409498
"5,7",2,1094,364,730,0.332724
"3,13",2,1083,610,473,0.56325
"18,25",2,1075,604,469,0.56186
"12,5",2,1075,398,677,0.370233
"17,13",2,1066,474,590,0.444653
"5,2",2,1058,475,582,0.44896
"15,2",2,977,597,378,0.611054
"6,5",2,945,354,591,0.374603
"18,16",2,895,545,345,0.608939
"3,18",2,889,513,376,0.577053
"7,12",2,873,300,573,0.343643
"23,7",2,862,340,522,0.394432
"6,11",2,832,295,537,0.354567
"8,4",2,814,349,465,0.428747
"6,18",2,772,311,461,0.40285
"7,25",2,765,265,500,0.346405
"6,19",2,732,187,545,0.255464
"9,6",2,715,262,453,0.366434
"17,1",2,683,281,402,0.41142
"9,10",2,671,291,380,0.433681
"13,1",2,665,403,259,0.606015
"12,7",2,663,214,449,0.322775
"23,8",2,654,290,364,0.443425
"12,10",2,630,245,385,0.388889
"3,5",2,606,264,342,0.435644
"24,22",2,605,367,238,0.606612
"20,24",2,604,194,410,0.321192
"24,9",2,592,326,266,0.550676
"17,4",2,590,244,341,0.413559
"9,22",2,588,355,233,0.603741
"25,18",2,575,334,240,0.58087
"24,18",2,569,344,225,0.604569
"5,12",2,557,181,376,0.324955
"18,18",2,542,380,157,0.701107
"23,17",2,475,139,336,0.292632
"20,12",2,472,74,398,0.15678
"3,1",2,431,250,181,0.580046
"1,16",2,415,230,185,0.554217
"7,23",2,414,154,260,0.371981
"17,20",2,411,160,251,0.389294
"24,21",2,406,181,225,0.445813
"8,23",2,402,165,237,0.410448
"13,17",2,401,159,242,0.396509
"10,17",2,398,176,222,0.442211
"7,10",2,387,155,232,0.400517
