sequence,length,count,up_count,down_count,up_probability
11,1,215763,93358,122274,0.432688
5,1,135104,59191,75803,0.438114
17,1,43888,18770,25080,0.42768
12,1,23357,9897,13451,0.423727
4,1,21312,8906,12387,0.417887
7,1,18542,7235,11290,0.390195
8,1,16199,7005,9190,0.432434
18,1,11243,6718,4483,0.597527
9,1,3510,1522,1962,0.433618
20,1,1750,411,1339,0.234857
19,1,433,65,368,0.150115
"10,10",2,114319,51270,62976,0.448482
"11,11",2,76930,33288,43612,0.432705
"11,24",2,46249,20338,25866,0.43975
"6,10",2,38581,17282,21276,0.447941
"5,11",2,34473,14901,19549,0.432251
"11,5",2,30974,13441,17521,0.433945
"24,11",2,22696,9879,12804,0.435275
"25,11",2,12229,5359,6859,0.438221
"11,25",2,10787,4425,6355,0.410216
"10,2",2,10310,4626,5683,0.448691
"11,17",2,9671,4290,5364,0.443594
"17,24",2,9645,4102,5538,0.425298
"16,10",2,9011,4054,4952,0.449895
"5,8",2,8777,3892,4884,0.443432
"17,17",2,7846,3332,4506,0.424675
"5,24",2,7623,3290,4331,0.431589
"11,12",2,7465,3066,4399,0.410717
"24,17",2,7428,3043,4381,0.409666
"5,25",2,6563,2661,3901,0.405455
"17,7",2,6496,2451,4043,0.377309
"12,24",2,5857,2594,3261,0.442889
"16,16",2,5711,3722,1969,0.651725
"11,7",2,5704,2439,3264,0.427595
"11,23",2,5696,2540,3154,0.445927
"8,11",2,5489,2362,3127,0.430315
"11,4",2,5409,2067,3342,0.382141
"2,2",2,5228,2305,2820,0.440895
"8,5",2,5205,2237,2965,0.429779
"5,17",2,4909,1882,3004,0.383377
"24,12",2,4828,2153,2672,0.44594
"7,11",2,4805,1985,2818,0.413111
"25,12",2,4760,1991,2769,0.418277
"11,1",2,4640,2043,2595,0.440302
"12,11",2,4505,1841,2664,0.408657
"4,25",2,4443,1869,2570,0.420662
"17,12",2,4172,1678,2484,0.402205
"24,16",2,4098,2534,1551,0.61835
"16,18",2,3785,2450,1330,0.647292
"24,4",2,3575,1549,2026,0.433287
"4,11",2,3491,1457,2027,0.417359
"16,15",2,3450,1937,1509,0.561449
"13,13",2,3450,1950,1500,0.565217
"2,11",2,3354,1398,1955,0.416816
"7,17",2,3345,1226,2117,0.366517
"11,2",2,3323,1343,1972,0.404153
"5,4",2,3248,1213,2032,0.373461
"12,25",2,3207,1306,1897,0.407234
"25,5",2,3075,1337,1738,0.434797
"10,5",2,3067,1291,1770,0.420933
"7,24",2,2915,1119,1794,0.383877
"11,8",2,2788,1174,1614,0.42109
"4,17",2,2411,983,1428,0.407715
"10,11",2,2407,989,1416,0.410885
"25,4",2,2271,925,1345,0.40731
"1,10",2,2218,902,1316,0.406673
"4,5",2,2203,900,1296,0.408534
"25,7",2,2119,817,1300,0.385559
"5,20",2,2084,640,1444,0.307102
"17,25",2,2009,896,1110,0.445993
"12,17",2,2003,797,1205,0.397903
"24,7",2,2001,850,1149,0.424788
"10,13",2,1869,1032,837,0.552167
"1,1",2,1826,1014,812,0.555312
"2,15",2,1822,1004,817,0.551043
"8,8",2,1644,700,944,0.425791
"7,7",2,1615,547,1063,0.3387
"25,20",2,1521,592,929,0.389218
"15,16",2,1492,828,664,0.55496
"4,12",2,1475,585,890,0.39661
"16,24",2,1441,861,574,0.597502
"6,21",2,1405,618,787,0.439858
"12,4",2,1403,551,852,0.39273
"6,15",2,1391,442,929,0.317757
"4,4",2,1355,540,815,0.398524
"18,16",2,1335,900,429,0.674157
"17,5",2,1332,584,747,0.438438
"10,21",2,1305,528,777,0.404598
"10,14",2,1295,570,725,0.440154
"5,7",2,1243,398,844,0.320193
"5,2",2,1233,521,711,0.422547
"8,25",2,1204,533,671,0.442691
"12,12",2,1178,511,667,0.433786
"7,12",2,1172,449,723,0.383106
"7,5",2,1126,485,641,0.430728
"18,15",2,1113,717,396,0.644205
"17,13",2,1102,486,615,0.441016
"23,7",2,1086,421,663,0.387661
"15,2",2,1075,602,473,0.56
"18,18",2,1052,773,269,0.734791
"9,25",2,1017,452,564,0.444444
"7,25",2,1011,393,616,0.388724
"12,5",2,1003,390,613,0.388833
"11,10",2,976,399,577,0.408811
"18,25",2,966,629,336,0.651139
"17,23",2,952,405,545,0.42542
"1,11",2,951,403,548,0.423764
"4,20",2,829,348,481,0.419783
"2,17",2,814,362,450,0.444717
"17,1",2,804,354,450,0.440299
