sequence,length,count,up_count,down_count,up_probability
3,1,8196,4571,3625,0.557711
12,1,2933,1220,1713,0.415956
17,1,2775,1101,1670,0.396757
16,1,1714,946,757,0.551925
14,1,1280,739,541,0.577344
7,1,901,318,583,0.352941
18,1,517,319,197,0.617021
20,1,210,70,138,0.333333
22,1,200,135,65,0.675
19,1,26,19,7,0.730769
"24,24",2,5223,2337,2886,0.447444
"24,10",2,3288,1446,1841,0.439781
"24,11",2,2838,1208,1629,0.425652
"10,24",2,2177,958,1218,0.440055
"3,3",2,1394,857,537,0.614778
"3,24",2,1228,679,549,0.552932
"11,25",2,1200,535,665,0.445833
"3,6",2,1077,603,474,0.559889
"6,3",2,1001,555,446,0.554446
"4,25",2,984,431,553,0.438008
"12,24",2,911,367,544,0.402854
"3,15",2,759,441,318,0.581028
"11,23",2,729,316,413,0.433471
"17,24",2,719,265,453,0.368567
"25,12",2,711,291,420,0.409283
"5,4",2,666,295,371,0.442943
"25,15",2,626,365,261,0.583067
"25,17",2,540,204,336,0.377778
"24,17",2,526,221,296,0.420152
"24,15",2,500,279,221,0.558
"10,2",2,478,204,274,0.426778
"12,11",2,472,184,288,0.389831
"12,25",2,450,184,266,0.408889
"17,17",2,432,167,265,0.386574
"3,16",2,358,203,155,0.567039
"15,24",2,356,223,133,0.626404
"14,14",2,351,238,113,0.678063
"15,5",2,347,145,202,0.417867
"17,7",2,341,124,217,0.363636
"11,8",2,341,189,152,0.554252
"5,20",2,330,127,203,0.384848
"17,12",2,306,117,189,0.382353
"16,15",2,304,168,135,0.552632
"25,20",2,302,123,179,0.407285
"5,17",2,278,115,163,0.413669
"24,16",2,255,173,81,0.678431
"10,11",2,252,106,146,0.420635
"16,25",2,238,153,85,0.642857
"10,13",2,230,80,150,0.347826
"12,4",2,230,101,129,0.43913
"7,11",2,201,72,129,0.358209
"13,10",2,194,86,108,0.443299
"3,2",2,192,114,78,0.59375
"10,1",2,183,67,116,0.36612
"6,21",2,180,101,79,0.561111
"13,6",2,176,101,75,0.573864
"24,13",2,176,65,111,0.369318
"4,17",2,174,63,111,0.362069
"7,24",2,165,51,114,0.309091
"7,17",2,163,64,99,0.392638
"12,12",2,161,61,100,0.378882
"2,15",2,158,105,53,0.664557
"16,18",2,156,102,53,0.653846
"14,15",2,156,113,43,0.724359
"3,14",2,153,90,63,0.588235
"16,3",2,147,90,57,0.612245
"21,25",2,146,58,88,0.39726
"25,7",2,145,64,81,0.441379
"12,17",2,145,46,99,0.317241
"17,25",2,135,51,84,0.377778
"1,10",2,130,54,76,0.415385
"6,14",2,121,47,74,0.38843
"24,7",2,119,40,79,0.336134
"8,24",2,117,43,74,0.367521
"17,5",2,114,47,67,0.412281
"25,14",2,110,64,46,0.581818
"20,24",2,108,28,78,0.259259
"3,18",2,104,77,27,0.740385
"5,13",2,101,43,58,0.425743
"10,18",2,100,38,62,0.38
"22,25",2,100,70,30,0.7
"25,2",2,94,59,35,0.62766
"4,23",2,93,55,38,0.591398
"3,5",2,92,53,39,0.576087
"18,10",2,91,39,52,0.428571
