sequence,length,count,up_count,down_count,up_probability
10,1,45905,20562,25333,0.447925
25,1,31305,13782,17501,0.440249
6,1,26058,11544,14475,0.443012
4,1,5149,2084,3065,0.404739
17,1,3825,1477,2348,0.386144
12,1,3485,1476,2009,0.423529
16,1,2754,1530,1194,0.555556
14,1,1844,1032,805,0.559653
7,1,1284,493,791,0.383956
21,1,875,370,505,0.422857
18,1,711,400,308,0.562588
20,1,215,56,159,0.260465
19,1,66,23,43,0.348485
"6,6",2,10865,4729,6136,0.435251
"10,25",2,10000,4057,5940,0.4057
"11,24",2,8375,3706,4669,0.442507
"6,10",2,6363,2730,3629,0.429043
"25,24",2,6238,2639,3590,0.423052
"24,25",2,5306,2349,2954,0.442706
"25,10",2,5129,2197,2932,0.428349
"24,10",2,5085,2086,2999,0.410226
"25,6",2,4614,1935,2679,0.419376
"10,6",2,4601,2000,2594,0.434688
"24,11",2,4067,1753,2314,0.43103
"6,25",2,2733,1100,1632,0.402488
"3,24",2,2478,1377,1101,0.55569
"6,24",2,2345,1055,1270,0.449893
"25,11",2,2189,952,1237,0.434902
"3,3",2,2156,1196,960,0.554731
"11,25",2,1675,733,942,0.437612
"4,25",2,1450,540,910,0.372414
"11,4",2,1242,507,735,0.408213
"5,25",2,1173,518,655,0.441603
"11,12",2,1160,455,705,0.392241
"11,23",2,1050,462,588,0.44
"3,15",2,989,576,413,0.582406
"25,15",2,976,561,415,0.574795
"17,24",2,960,354,606,0.36875
"12,24",2,902,384,518,0.425721
"24,15",2,875,558,316,0.637714
"5,4",2,839,353,486,0.420739
"4,24",2,828,353,475,0.426329
"11,17",2,792,292,500,0.368687
"15,3",2,762,427,335,0.560367
"4,11",2,761,315,446,0.413929
"23,23",2,738,328,410,0.444444
"24,17",2,707,239,468,0.338048
"25,12",2,701,280,421,0.399429
"13,13",2,698,290,404,0.415473
"17,11",2,674,230,444,0.341246
"10,2",2,667,280,387,0.41979
"24,23",2,667,281,386,0.421289
"25,17",2,644,262,382,0.406832
"12,11",2,643,269,374,0.418351
"2,25",2,601,227,374,0.377704
"25,4",2,570,239,331,0.419298
"3,16",2,514,312,202,0.607004
"12,25",2,510,191,319,0.37451
"17,7",2,445,165,280,0.370787
"25,13",2,431,191,237,0.443155
"4,4",2,411,167,244,0.406326
